type,rule
drink,Any of the main cast names are said (season dependent).
drink,There is a football on screen.
drink,Alex sleeps with a new girl.
drink,Someone takes a swig of an alcoholic beverage.
gulp,There's football practice.
gulp,Drugs are used.
gulp,Someone in your group of friends laughs at the show.
gulp,There's a Flashback or Vision.
gulp,There's a live animal on screen.
gulp,Harmon smells his balls.
gulp,Thad screams like a little bitch.
gulp,Thad calls a team meeting.
finish,Sammy gets laid.
finish,Coach Daniels gets laid.
title,Blue Mountain State
