Title,URL,drunkscale,RunTime,Author
1408,films/1408.html,5.5,1h 52m,Team D2M
28 Days Later,films/28dayslater.html,5.5,1h 53m,Bill/Joe
28 Weeks Later,films/28weekslater.html,4.5,1h 40m,Bill/Joe
2 Guns,films/2guns.html,5.5,1h 49m,Alcolawl
30 Days of Night,films/30daysofnight.html,5,1h 53m,Joe
300,films/300.html,5.5,1h 57m,Team D2M
The Amazing Spiderman 2,films/amazingspiderman2.html,4.5,2h 22m,Team D2M
American History X,films/americanhistoryx.html,6,1h 59m,Duff
American Hustle,films/americanhustle.html,5,2h 18m,Joe
Amityville Horror,films/amityvillehorror.html,6,1h 34m,Bill/Joe
Angels and Demons,films/angelsdemons.html,5,2h 26m,Alcolawl
Antz,films/antz.html,4.5,1h 24m,Joe
The Apparition,films/apparition.html,5.5,1h 22m,Bill
Argo,films/argo.html,5,2h 10m,Alcolawl
Austin Powers: Goldmember,films/goldmember.html,6,1h 35m,Alcolawl
The Avengers,films/avengers.html,5,2h 23m,Bill
The Aviator,films/aviator.html,5.5,2h 50m,Alcolawl
Back To The Future,films/backtothefuture.html,5.5,1h 56m,Bill
Bad Boys,films/badboys.html,5.5,1h 59m,Joe
Bad Boys II,films/badboys2.html,6,2h 28m,Joe
Beavis and Butthead Do America,films/beavisbuttheadamerica.html,6.5,1h 21m,Alcolawl
Behind Enemy Lines,films/behindenemylines.html,6,1h 46m,Alcolawl
Billy Madison,films/billymadison.html,5,1h 30m,Joe/Duff
The Blair Witch Project,films/blairwitchproject.html,5.5,1h 21m,Team D2M
The Book of Eli,films/bookofeli.html,6,1h 58m,Joe
Boondock Saints,films/boondocksaints.html,6,1h 50m,Team D2M
Boondock Saints II,films/boondocksaints2.html,5,1h 58m,Duff
The Bourne Legacy,films/bournelegacy.html,5,2h 15m,Alcolawl
Braveheart,films/braveheart.html,7,2h 57m,Alcolawl
The Breakfast Club,films/breakfastclub.html,5,1h 37m,Bill
The Cable Guy,films/cableguy.html,4,1h 36m,Duff
Captain America: Winter Soldier,films/captainamerica2.html,6.5,2h 16m,Alcolawl
Captain Phillips,films/captphillips.html,4.5,2h 14m,Alcolawl
Casino Royale,films/casinoroyale.html,6,2h 25m,Alcolawl
Chernobyl Diaries,films/chernobylbabies.html,4,1h 26m,Joe
Children of The Corn,films/childrenofcorn.html,5.5,1h 32m,Bill
A Christmas Story,films/christmasstory.html,6,1h 34m,Joe
Clerks 2,films/clerks2.html,5,1h 57m,Joe
Click,films/click.html,6.5,1h 47m,Alcolawl
Cloverfield,films/cloverfield.html,5,1h 30m,Team D2M
The Collection,films/collection.html,4,1h 22m,Bill
Colombiana,films/colombiana.html,5,1h 47m,Alcolawl
The Conjuring,films/conjuring.html,5.5,1h 52m,Alcolawl
Crank,films/crank.html,6,1h 44m,Bill/Joe
Crank: High Voltage,films/crank2.html,5.5,1h 36m,Joe
Cry Wolf (2005),films/crywolf.html,5.5,1h 31m,Joe
Cujo,films/cujo.html,5,1h 35m,Joe
Daredevil,films/daredevil.html,5.5,1h 43m,Joe
Darkness Falls,films/darknessfalls.html,5.5,1h 26m,Bill
Dawn Of The Dead,films/dawnofthedead.html,7,1h 41m,Joe
Dazed and Confused,films/dazedconfused.html,5,1h 43m,Joe
Death Race,films/deathrace.html,5.5,1h 51m,Alcolawl
Death Sentence,films/deathsentence.html,5,1h 51m,Alcolawl
Deja Vu,films/dejavu.html,5.5,2h 06m,Alcolawl
Departed,films/departed.html,7,2h 31m,Alcolawl
Desperado,films/desperado.html,6,3h 04m,Alcolawl
The Devil's Rejects,films/devilsrejects.html,6,1h 49m,Joe
Django Unchained,films/django.html,7,3h 00m,Alcolawl
Dodgeball,films/dodgeball.html,5.5,1h 32m,Bill
Don Jon,films/donjon.html,5.5,1h 30m,Alcolawl
"Dude, Where's My Car?",films/dudewheresmycar.html,5.5,1h 23m,Alcolawl
Edge of Tomorrow,films/edgeoftomorrow.html,5.5,1h 53m,Alcolawl
End Of Watch,films/endofwatch.html,6,1h 48m,Team D2M
Eurotrip,films/eurotrip.html,6.5,1h 33m,Joe
The Exorcism of Emily Rose,films/exorcismemilyrose.html,5,2h 02m,Team D2M
The Exorcist,films/exorcist.html,4.5,2h 12m,Bill/Joe
Ferris Buller's Day Off,films/ferrisbueller.html,6,1h 43m,Joe/Duff
The Fighter,films/fighter.html,7,1h 56m,Joe
Fight Club,films/fightclub.html,6,2h 19m,Joe
Finding Nemo,films/findingnemo.html,5.5,1h 40m,Bill/Joe
Forgetting Sarah Marshall,films/forgettingsarahmarshall.html,6,1h 52m,Alcolawl
Four Brothers,films/fourbrothers.html,5.5,1h 49m,Bill
The Fourth Kind,films/the4thkind.html,5.5,1h 38m,Bill/Joe
Friday,films/friday.html,4.5,1h 31m,Joe
Fright Night (2011),films/fridaynight.html,6,1h 46m,Joe
From Dusk til Dawn,films/fromdusktildawn.html,6,1h 48m,Joe
Full Metal Jacket,films/fullmetaljacket.html,5,1h 56m,Alcolawl
Ghost Ship,films/ghostship.html,6,1h 31m,Bill
Gladiator,films/gladiator.html,7,2h 51m,Joe
Godzilla (2014),films/godzilla.html,5.5,2h 03m,Team D2M
Grandma's Boy,films/grandmasboy.html,5,1h 34m,Joe
Gravity,films/gravity.html,5,1h 33m,Alcolawl
Grease,films/grease.html,6,1h 50m,Joe
Green Street Hooligans,films/greenstreethooligans.html,5.5,1h 49m,Bill
The Grey,films/grey.html,5,1h 57m,Alcolawl
Grown Ups,films/grownups.html,6,1h 42m,Bill
Halloween (2007 Remake),films/halloween2007.html,6.5,2h 1m,Bill/Joe
Halloween H2O,films/halloweenh2o.html,6,1h 26m,Bill/Joe
The Hangover,films/hangover.html,5,1h 40m,Alcolawl
Happy Gilmore,films/happygilmore.html,3.5,1h 32m,Bill
Haunter,films/haunter.html,5.5,1h 37m,Joe
The Haunting in Connecticut,films/hauntinginconnecticut.html,5.5,1h 42m,Joe
The Haunting in Connecticut 2: Ghosts of Georgia,films/hauntinginconnecticut2.html,6.5,1h 42m,Joe
Hellraiser,films/hellraiser.html,5.5,1h 40m,Joe
Hercules (Disney),films/hercules.html,6.5,1h 33m,Joe
Hide and Seek,films/hideandseek.html,5,1h 41m,Joe
The Hills Have Eyes,films/hillseyes.html,5.5,1h 29m,Team D2M
The Hills Have Eyes 2,films/hillshaveeyes2.html,5,1h 37m,Bill/Joe
The Hobbit: An Unexpected Journey,films/hobbit.html,6,2h 49m,Bill/Joe
Home Alone,films/homealone.html,6,1h 43m,Alcolawl
Home Alone 2,films/homealone2.html,5.5,2h 01m,Alcolawl
Hostel,films/hostel.html,5.5,1h 35m,Joe
Hot Fuzz,films/hotfuzz.html,6,2h 01m,Alcolawl
House of Wax,films/houseofwax.html,4.5,1h 53m,Bill/Joe
The Hunger Games,films/hungergames.html,5.5,2h 22m,Bill
The Hunt for Red October,films/huntforredoctober.html,6,2h 15m,Alcolawl
I Am Legend,films/iamlegend.html,5.5,1h 41m,Bill
Idiocracy,films/idiocracy.html,6,1h 22m,Alcolawl
Independence Day,films/independenceday.html,6,2h 33m,Alcolawl
